parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
1,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
2,300,0.01,3,15,3.141592654,0,1,0.01,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
3,300,0.01,3,15,3.141592654,0,0,0.02,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
4,300,0.01,3,15,3.141592654,0,1,0.02,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
5,300,0.01,3,15,3.141592654,0,0,0.05,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
6,300,0.01,3,15,3.141592654,0,1,0.05,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
7,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
8,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
9,300,0.01,3,15,3.141592654,0,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
10,300,0.01,3,15,3.141592654,0,1,0.2,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
11,300,0.01,3,15,3.141592654,0,0,0.5,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
12,300,0.01,3,15,3.141592654,0,1,0.5,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
13,300,0.01,3,15,3.141592654,0,0,0.1,1,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
14,300,0.01,3,15,3.141592654,0,1,0.1,1,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
